108.165.65.216,8443,TRUE,SIN,MY,Kuala Lumpur,122,0,AS13335
108.165.65.130,443,TRUE,KUL,MY,Kuala Lumpur,134,0,AS149440
142.111.146.209,443,TRUE,KUL,MY,Kuala Lumpur,131,0,AS149440
136.0.141.222,443,TRUE,AMS,NL,North Holland,183,0,AS149440
142.111.135.253,443,TRUE,LAX,US,California,289,0,AS149440
142.111.194.211,443,TRUE,AMS,NL,North Holland,184,0,AS149440
142.111.15.223,443,TRUE,CGK,ID,Jakarta,325,0,AS149440
142.111.143.192,443,TRUE,KUL,MY,Kuala Lumpur,124,0,AS149440
142.111.77.179,8443,TRUE,FRA,DE,Hesse,144,0,AS149440
166.88.100.92,8443,TRUE,KIX,JP,Osaka,327,0,AS149440
142.111.77.179,2053,TRUE,FRA,DE,Hesse,208,0,AS149440
166.0.106.229,443,TRUE,YYZ,CA,Quebec,206,0,AS149440
151.158.1.228,443,TRUE,ZRH,CH,Zurich,198,0,AS149440
166.88.132.65,443,TRUE,FRA,DE,Hesse,162,0,AS149440
166.88.2.13,8443,TRUE,KIX,JP,Osaka,330,0,AS149440
166.88.97.94,443,TRUE,KIX,JP,Osaka,328,0,AS149440
166.88.97.80,2053,TRUE,KIX,JP,Osaka,317,0,AS149440
166.88.99.12,8443,TRUE,KIX,JP,Osaka,310,0,AS149440
166.88.99.206,443,TRUE,KIX,JP,Osaka,371,0,AS149440
202.61.72.160,8443,TRUE,HKG,HK,,322,0,AS149440
202.61.72.160,443,TRUE,HKG,HK,,310,0,AS149440
202.61.75.38,443,TRUE,KUL,MY,Kuala Lumpur,80,0,AS149440
202.61.72.147,8443,TRUE,HKG,HK,,349,0,AS149440
205.186.67.52,2053,TRUE,KUL,MY,Kuala Lumpur,126,0,AS149440
205.186.64.123,443,TRUE,KUL,MY,Kuala Lumpur,142,0,AS149440
23.26.204.165,443,TRUE,KUL,MY,Kuala Lumpur,77,0,AS149440
23.27.12.103,443,TRUE,LAX,US,California,236,0,AS149440
23.27.120.194,443,TRUE,LAX,US,California,247,0,AS149440
23.27.124.203,443,TRUE,FRA,DE,Hesse,162,0,AS149440
23.27.53.32,443,TRUE,KUL,MY,Kuala Lumpur,126,0,AS149440
23.27.25.190,443,TRUE,FRA,DE,Hesse,153,0,AS149440
23.27.53.144,443,TRUE,KUL,MY,Kuala Lumpur,82,0,AS149440
23.27.50.239,443,TRUE,EWR,US,New York,294,0,AS149440
23.27.52.166,8443,TRUE,NRT,JP,Tokyo,392,0,AS149440
45.134.36.167,443,TRUE,KUL,MY,Kuala Lumpur,105,0,AS149440
45.134.36.116,443,TRUE,KUL,MY,Kuala Lumpur,79,0,AS149440
38.246.72.14,443,TRUE,LAX,US,California,261,0,AS149440
50.114.113.126,443,TRUE,KIX,JP,Osaka,336,0,AS149440
50.114.113.243,443,TRUE,KIX,JP,Osaka,393,0,AS149440
96.126.190.3,443,TRUE,KUL,MY,Kuala Lumpur,82,0,AS149440
96.126.179.2,443,TRUE,HKG,HK,,313,0,AS149440
